region,type,link
4553,0,http://www.cian.ru/sale/commercial/14031534/
4553,0,http://www.cian.ru/sale/commercial/151524952/
4553,1,http://www.cian.ru/sale/commercial/149933741/
4553,1,http://www.cian.ru/sale/commercial/8978344/
4553,1,http://www.cian.ru/sale/commercial/137706853/
4553,1,http://www.cian.ru/sale/commercial/14364571/
4553,1,http://www.cian.ru/sale/commercial/14319919/
4553,1,http://www.cian.ru/sale/commercial/14544978/
4553,1,http://www.cian.ru/sale/commercial/142957086/
4553,1,http://www.cian.ru/sale/commercial/151397246/
4553,2,http://www.cian.ru/sale/commercial/149288598/
4553,2,http://www.cian.ru/sale/commercial/150090000/
4553,2,http://www.cian.ru/sale/commercial/149306478/
4553,2,http://www.cian.ru/sale/commercial/149695241/
4553,2,http://www.cian.ru/sale/commercial/149694879/
4553,2,http://www.cian.ru/sale/commercial/14395590/
4553,2,http://www.cian.ru/sale/commercial/137708404/
4553,2,http://www.cian.ru/sale/commercial/150299269/
4553,3,http://www.cian.ru/sale/commercial/14046569/
4553,4,http://www.cian.ru/sale/commercial/151396692/
4553,4,http://www.cian.ru/sale/commercial/151395283/
4553,4,http://www.cian.ru/sale/commercial/149391285/
4553,4,http://www.cian.ru/sale/commercial/151398593/
4553,4,http://www.cian.ru/sale/commercial/12379764/
4553,4,http://www.cian.ru/sale/commercial/5711140/
4553,4,http://www.cian.ru/sale/commercial/151396206/
4553,4,http://www.cian.ru/sale/commercial/151397885/
4553,4,http://www.cian.ru/sale/commercial/151395826/
4553,0,http://www.cian.ru/sale/commercial/13973069/
4553,0,http://www.cian.ru/sale/commercial/14031534/
4553,0,http://www.cian.ru/sale/commercial/151524952/
4553,1,http://www.cian.ru/sale/commercial/149933741/
4553,1,http://www.cian.ru/sale/commercial/8978344/
4553,1,http://www.cian.ru/sale/commercial/137706853/
4553,1,http://www.cian.ru/sale/commercial/14364571/
4553,1,http://www.cian.ru/sale/commercial/14319919/
4553,1,http://www.cian.ru/sale/commercial/14544978/
4553,1,http://www.cian.ru/sale/commercial/142957086/
4553,1,http://www.cian.ru/sale/commercial/151397246/
4553,2,http://www.cian.ru/sale/commercial/149288598/
4553,2,http://www.cian.ru/sale/commercial/150090000/
4553,2,http://www.cian.ru/sale/commercial/149306478/
4553,2,http://www.cian.ru/sale/commercial/149695241/
4553,2,http://www.cian.ru/sale/commercial/149694879/
4553,2,http://www.cian.ru/sale/commercial/14395590/
4553,2,http://www.cian.ru/sale/commercial/137708404/
4553,2,http://www.cian.ru/sale/commercial/150299269/
4553,3,http://www.cian.ru/sale/commercial/14046569/
4553,4,http://www.cian.ru/sale/commercial/151396692/
4553,4,http://www.cian.ru/sale/commercial/151395283/
4553,4,http://www.cian.ru/sale/commercial/149391285/
4553,4,http://www.cian.ru/sale/commercial/151398593/
4553,4,http://www.cian.ru/sale/commercial/12379764/
4553,4,http://www.cian.ru/sale/commercial/5711140/
4553,4,http://www.cian.ru/sale/commercial/151396206/
4553,4,http://www.cian.ru/sale/commercial/151397885/
4553,4,http://www.cian.ru/sale/commercial/151395826/
4554,0,http://kemerovo.cian.ru/sale/commercial/150325009/
4554,0,http://www.cian.ru/sale/commercial/150956420/
4554,0,http://www.cian.ru/sale/commercial/5357968/
4554,0,http://www.cian.ru/sale/commercial/146006709/
4554,0,http://www.cian.ru/sale/commercial/151706628/
4554,0,http://novosibirsk.cian.ru/sale/commercial/147887065/
4554,0,http://www.cian.ru/sale/commercial/150741059/
4554,0,http://www.cian.ru/sale/commercial/150595635/
4554,0,http://kemerovo.cian.ru/sale/commercial/150194751/
4554,0,http://www.cian.ru/sale/commercial/150475059/
4554,1,http://kemerovo.cian.ru/sale/commercial/151449191/
4554,1,http://www.cian.ru/sale/commercial/151716450/
4554,1,http://www.cian.ru/sale/commercial/151635749/
4554,1,http://www.cian.ru/sale/commercial/1432637/
4554,1,http://krasnoyarsk.cian.ru/sale/commercial/151353010/
4554,1,http://www.cian.ru/sale/commercial/136955510/
4554,1,http://www.cian.ru/sale/commercial/151636110/
4554,1,http://www.cian.ru/sale/commercial/150029774/
4554,1,http://www.cian.ru/sale/commercial/149716009/
4554,1,http://kemerovo.cian.ru/sale/commercial/139943973/
4554,2,http://www.cian.ru/sale/commercial/149431418/
4554,2,http://www.cian.ru/sale/commercial/151716450/
4554,2,http://www.cian.ru/sale/commercial/151635749/
4554,2,http://www.cian.ru/sale/commercial/13932172/
4554,2,http://www.cian.ru/sale/commercial/150475059/
4554,2,http://www.cian.ru/sale/commercial/149894824/
4554,2,http://www.cian.ru/sale/commercial/151636110/
4554,2,http://www.cian.ru/sale/commercial/1432637/
4554,2,http://www.cian.ru/sale/commercial/151706628/
4554,2,http://kemerovo.cian.ru/sale/commercial/150748944/
4554,3,http://kemerovo.cian.ru/sale/commercial/151595246/
4554,3,http://www.cian.ru/sale/commercial/151636110/
4554,3,http://kemerovo.cian.ru/sale/commercial/151855666/
4554,3,http://kemerovo.cian.ru/sale/commercial/151555535/
4554,3,http://www.cian.ru/sale/commercial/151756005/
4554,3,http://novosibirsk.cian.ru/sale/commercial/148042251/
4554,3,http://www.cian.ru/sale/commercial/151635749/
4554,3,http://www.cian.ru/sale/commercial/151706628/
4554,3,http://www.cian.ru/sale/commercial/151716450/
4554,3,http://kemerovo.cian.ru/sale/commercial/14168332/
4554,4,http://www.cian.ru/sale/commercial/151706628/
4554,0,http://www.cian.ru/sale/commercial/149895107/
4554,0,http://www.cian.ru/sale/commercial/150475059/
4554,0,http://www.cian.ru/sale/commercial/151635749/
4554,0,http://www.cian.ru/sale/commercial/151691945/
4554,0,http://www.cian.ru/sale/commercial/146006709/
4554,0,http://kemerovo.cian.ru/sale/commercial/150325009/
4554,0,http://www.cian.ru/sale/commercial/148458577/
4554,0,http://kemerovo.cian.ru/sale/commercial/150194751/
4554,0,http://www.cian.ru/sale/commercial/150595635/
4554,0,http://novosibirsk.cian.ru/sale/commercial/150177509/
4554,1,http://www.cian.ru/sale/commercial/151691945/
4554,1,http://www.cian.ru/sale/commercial/150956420/
4554,1,http://www.cian.ru/sale/commercial/151028373/
4554,1,http://www.cian.ru/sale/commercial/151706628/
4554,1,http://krasnoyarsk.cian.ru/sale/commercial/151353010/
4554,1,http://www.cian.ru/sale/commercial/150475059/
4554,1,http://kemerovo.cian.ru/sale/commercial/139943973/
4554,1,http://www.cian.ru/sale/commercial/136955510/
4554,1,http://www.cian.ru/sale/commercial/151636110/
4554,1,http://www.cian.ru/sale/commercial/151716450/
4554,2,http://www.cian.ru/sale/commercial/150475059/
4554,2,http://kemerovo.cian.ru/sale/commercial/151407134/
4554,2,http://kemerovo.cian.ru/sale/commercial/151599059/
4554,2,http://www.cian.ru/sale/commercial/149430671/
4554,2,http://www.cian.ru/sale/commercial/151716450/
4554,2,http://www.cian.ru/sale/commercial/149431418/
4554,2,http://www.cian.ru/sale/commercial/151636110/
4554,2,http://www.cian.ru/sale/commercial/150481389/
4554,2,http://www.cian.ru/sale/commercial/1432637/
4554,2,http://www.cian.ru/sale/commercial/149894824/
4554,3,http://www.cian.ru/sale/commercial/151706628/
4554,3,http://www.cian.ru/sale/commercial/151756005/
4554,3,http://novosibirsk.cian.ru/sale/commercial/148042251/
4554,3,http://www.cian.ru/sale/commercial/1432637/
4554,3,http://kemerovo.cian.ru/sale/commercial/151855666/
4554,3,http://kemerovo.cian.ru/sale/commercial/151595246/
4554,3,http://www.cian.ru/sale/commercial/151716450/
4554,3,http://www.cian.ru/sale/commercial/150475059/
4554,3,http://www.cian.ru/sale/commercial/150956420/
4554,3,http://novosibirsk.cian.ru/sale/commercial/150672269/
4554,4,http://www.cian.ru/sale/commercial/151706628/
4554,0,http://www.cian.ru/sale/commercial/151068595/
4554,0,http://www.cian.ru/sale/commercial/151706628/
4554,0,http://kemerovo.cian.ru/sale/commercial/150194751/
4554,0,http://kemerovo.cian.ru/sale/commercial/150325009/
4554,0,http://www.cian.ru/sale/commercial/151716450/
4554,0,http://www.cian.ru/sale/commercial/150595635/
4554,0,http://www.cian.ru/sale/commercial/151635749/
4554,0,http://novosibirsk.cian.ru/sale/commercial/150177509/
4554,0,http://novosibirsk.cian.ru/sale/commercial/147887065/
4554,0,http://www.cian.ru/sale/commercial/151691945/
4554,1,http://www.cian.ru/sale/commercial/150029774/
4554,1,http://www.cian.ru/sale/commercial/149716009/
4554,1,http://www.cian.ru/sale/commercial/150475059/
4554,1,http://kemerovo.cian.ru/sale/commercial/151757710/
4554,1,http://www.cian.ru/sale/commercial/1432637/
4554,1,http://kemerovo.cian.ru/sale/commercial/151449191/
4554,1,http://www.cian.ru/sale/commercial/136955510/
4554,1,http://www.cian.ru/sale/commercial/151028373/
4554,1,http://krasnoyarsk.cian.ru/sale/commercial/151353010/
4554,1,http://www.cian.ru/sale/commercial/148458577/
4554,2,http://www.cian.ru/sale/commercial/149430671/
4554,2,http://www.cian.ru/sale/commercial/13932172/
4554,2,http://kemerovo.cian.ru/sale/commercial/4399959/
4554,2,http://www.cian.ru/sale/commercial/149894824/
4554,2,http://www.cian.ru/sale/commercial/151706628/
4554,2,http://www.cian.ru/sale/commercial/149766481/
4554,2,http://www.cian.ru/sale/commercial/151716450/
4554,2,http://www.cian.ru/sale/commercial/151691945/
4554,2,http://www.cian.ru/sale/commercial/151635749/
4554,2,http://www.cian.ru/sale/commercial/151636110/
4554,3,http://www.cian.ru/sale/commercial/148458577/
4554,3,http://kemerovo.cian.ru/sale/commercial/151595246/
4554,3,http://www.cian.ru/sale/commercial/150956420/
4554,3,http://kemerovo.cian.ru/sale/commercial/14168332/
4554,3,http://www.cian.ru/sale/commercial/150475059/
4554,3,http://www.cian.ru/sale/commercial/151716450/
4554,3,http://www.cian.ru/sale/commercial/151706628/
4554,3,http://novosibirsk.cian.ru/sale/commercial/147600512/
4554,3,http://www.cian.ru/sale/commercial/151691945/
4554,3,http://novosibirsk.cian.ru/sale/commercial/148042251/
